Plate,Well,Signal,,,,,,,,,,
8,A11,145240,,,,,,,,,,
8,A12,32076,,,,,,,,,,
8,B01,144354,,,,,,,,,,
8,B02,160755,,,,,,,,,,
8,B03,70618,,,,,,,,,,
8,B04,136111,,,,,,,,,,
8,B05,127460,,,,,,,,,,
8,B06,129027,,,,,,,,,,
8,B07,88788,,,,,,,,,,
8,B08,96934,,,,,,,,,,
8,B09,166917,,,,,,,,,,
8,B10,63343,,,,,,,,,,
8,B11,67779,,,,,,,,,,
8,B12,31549,,,,,,,,,,
8,C01,144085,,,,,,,,,,
8,C02,163767,,,,,,,,,,
8,C03,159705,,,,,,,,,,
8,C04,120712,,,,,,,,,,
8,C05,118421,,,,,,,,,,
8,C06,153295,,,,,,,,,,
8,C07,183516,,,,,,,,,,
8,C08,187952,,,,,,,,,,
8,C09,184127,,,,,,,,,,
8,C10,176802,,,,,,,,,,
8,C11,152985,,,,,,,,,,
8,C12,32941,,,,,,,,,,
8,D01,142134,,,,,,,,,,
8,D02,164985,,,,,,,,,,
8,D03,174861,,,,,,,,,,
8,D04,89208,,,,,,,,,,
8,D05,152152,,,,,,,,,,
8,D06,166759,,,,,,,,,,
8,D07,200502,,,,,,,,,,
8,D08,153151,,,,,,,,,,
8,D09,175070,,,,,,,,,,
8,D10,217102,,,,,,,,,,
8,D11,162406,,,,,,,,,,
8,D12,33563,,,,,,,,,,
8,E01,38101,,,,,,,,,,
8,E02,164348,,,,,,,,,,
8,E03,127321,,,,,,,,,,
8,E04,137020,,,,,,,,,,
8,E05,138861,,,,,,,,,,
8,E06,30782,,,,,,,,,,
8,E07,162880,,,,,,,,,,
8,E08,169205,,,,,,,,,,
8,E09,131775,,,,,,,,,,
8,E10,67661,,,,,,,,,,
8,E11,178313,,,,,,,,,,
8,E12,150303,,,,,,,,,,
8,F01,33579,,,,,,,,,,
8,F02,154628,,,,,,,,,,
8,F03,141733,,,,,,,,,,
8,F04,156744,,,,,,,,,,
8,F05,131317,,,,,,,,,,
8,F06,175697,,,,,,,,,,
8,F07,128518,,,,,,,,,,
8,F08,156921,,,,,,,,,,
8,F09,181329,,,,,,,,,,
8,F10,148840,,,,,,,,,,
8,F11,132301,,,,,,,,,,
8,F12,154203,,,,,,,,,,
8,G01,33230,,,,,,,,,,
8,G02,154864,,,,,,,,,,
8,G03,123270,,,,,,,,,,
8,G04,128502,,,,,,,,,,
8,G05,160070,,,,,,,,,,
8,G06,70313,,,,,,,,,,
8,G07,187509,,,,,,,,,,
8,G08,192363,,,,,,,,,,
8,G09,173589,,,,,,,,,,
8,G10,175382,,,,,,,,,,
8,G11,157245,,,,,,,,,,
8,G12,149293,,,,,,,,,,
8,H01,32169,,,,,,,,,,
8,H02,129231,,,,,,,,,,
8,H03,124629,,,,,,,,,,
8,H04,127362,,,,,,,,,,
8,H05,138929,,,,,,,,,,
8,H06,123639,,,,,,,,,,
8,H07,165554,,,,,,,,,,
8,H08,181789,,,,,,,,,,
8,H09,194910,,,,,,,,,,
8,H10,85746,,,,,,,,,,
8,H11,150706,,,,,,,,,,
8,H12,146425,,,,,,,,,,
9,A01,133839,,,,,,,,,,
9,A02,162925,,,,,,,,,,
9,A03,165383,,,,,,,,,,
