Plate,Well,Signal,,,,,,,,,,
6,G10,169251,,,,,,,,,,
6,G11,183896,,,,,,,,,,
6,G12,168273,,,,,,,,,,
6,H01,32020,,,,,,,,,,
6,H02,147674,,,,,,,,,,
6,H03,114008,,,,,,,,,,
6,H04,119940,,,,,,,,,,
6,H05,119931,,,,,,,,,,
6,H06,101524,,,,,,,,,,
6,H07,151052,,,,,,,,,,
6,H08,151660,,,,,,,,,,
6,H09,190235,,,,,,,,,,
6,H10,78915,,,,,,,,,,
6,H11,138140,,,,,,,,,,
6,H12,160212,,,,,,,,,,
7,A01,157751,,,,,,,,,,
7,A02,153326,,,,,,,,,,
7,A03,142313,,,,,,,,,,
7,A04,155243,,,,,,,,,,
7,A05,159119,,,,,,,,,,
7,A06,161495,,,,,,,,,,
7,A07,149591,,,,,,,,,,
7,A08,154892,,,,,,,,,,
7,A09,139501,,,,,,,,,,
7,A10,129170,,,,,,,,,,
7,A11,109660,,,,,,,,,,
7,A12,31857,,,,,,,,,,
7,B01,127565,,,,,,,,,,
7,B02,163655,,,,,,,,,,
7,B03,69042,,,,,,,,,,
7,B04,121582,,,,,,,,,,
7,B05,109680,,,,,,,,,,
7,B06,107578,,,,,,,,,,
7,B07,71015,,,,,,,,,,
7,B08,77795,,,,,,,,,,
7,B09,147410,,,,,,,,,,
7,B10,55800,,,,,,,,,,
7,B11,53517,,,,,,,,,,
7,B12,31906,,,,,,,,,,
7,C01,132029,,,,,,,,,,
7,C02,168465,,,,,,,,,,
7,C03,177260,,,,,,,,,,
7,C04,93844,,,,,,,,,,
7,C05,108515,,,,,,,,,,
7,C06,150770,,,,,,,,,,
7,C07,161733,,,,,,,,,,
7,C08,164792,,,,,,,,,,
7,C09,149354,,,,,,,,,,
7,C10,151846,,,,,,,,,,
7,C11,136758,,,,,,,,,,
7,C12,32255,,,,,,,,,,
7,D01,129231,,,,,,,,,,
7,D02,157163,,,,,,,,,,
7,D03,176914,,,,,,,,,,
7,D04,81615,,,,,,,,,,
7,D05,171220,,,,,,,,,,
7,D06,153088,,,,,,,,,,
7,D07,167803,,,,,,,,,,
7,D08,137622,,,,,,,,,,
7,D09,139327,,,,,,,,,,
7,D10,186850,,,,,,,,,,
7,D11,136742,,,,,,,,,,
7,D12,36914,,,,,,,,,,
7,E01,35834,,,,,,,,,,
7,E02,166263,,,,,,,,,,
7,E03,114692,,,,,,,,,,
7,E04,125327,,,,,,,,,,
7,E05,140443,,,,,,,,,,
7,E06,36986,,,,,,,,,,
7,E07,141041,,,,,,,,,,
7,E08,148962,,,,,,,,,,
7,E09,112838,,,,,,,,,,
7,E10,61553,,,,,,,,,,
7,E11,158823,,,,,,,,,,
7,E12,156731,,,,,,,,,,
7,F01,34373,,,,,,,,,,
7,F02,121805,,,,,,,,,,
7,F03,142999,,,,,,,,,,
7,F04,164491,,,,,,,,,,
7,F05,136205,,,,,,,,,,
7,F06,152657,,,,,,,,,,
7,F07,93893,,,,,,,,,,
7,F08,153529,,,,,,,,,,
7,F09,155211,,,,,,,,,,
7,F10,144556,,,,,,,,,,
7,F11,151088,,,,,,,,,,
7,F12,155469,,,,,,,,,,
7,G01,34955,,,,,,,,,,
7,G02,146166,,,,,,,,,,
7,G03,134185,,,,,,,,,,
7,G04,126022,,,,,,,,,,
7,G05,161914,,,,,,,,,,
7,G06,61428,,,,,,,,,,
7,G07,159628,,,,,,,,,,
7,G08,169669,,,,,,,,,,
7,G09,129221,,,,,,,,,,
7,G10,159736,,,,,,,,,,
7,G11,150018,,,,,,,,,,
7,G12,159577,,,,,,,,,,
7,H01,34293,,,,,,,,,,
7,H02,151841,,,,,,,,,,
7,H03,113574,,,,,,,,,,
7,H04,99499,,,,,,,,,,
7,H05,136499,,,,,,,,,,
7,H06,95379,,,,,,,,,,
7,H07,133956,,,,,,,,,,
7,H08,135886,,,,,,,,,,
7,H09,171462,,,,,,,,,,
7,H10,72697,,,,,,,,,,
7,H11,121509,,,,,,,,,,
7,H12,155985,,,,,,,,,,
8,A01,142896,,,,,,,,,,
8,A02,139026,,,,,,,,,,
8,A03,135289,,,,,,,,,,
8,A04,151099,,,,,,,,,,
8,A05,158621,,,,,,,,,,
8,A06,170044,,,,,,,,,,
8,A07,163983,,,,,,,,,,
8,A08,171233,,,,,,,,,,
8,A09,150902,,,,,,,,,,
8,A10,143165,,,,,,,,,,
8,A11,119448,,,,,,,,,,
8,A12,32457,,,,,,,,,,
8,B01,117023,,,,,,,,,,
8,B02,149013,,,,,,,,,,
8,B03,68234,,,,,,,,,,
8,B04,114501,,,,,,,,,,
8,B05,109202,,,,,,,,,,
8,B06,113379,,,,,,,,,,
8,B07,73336,,,,,,,,,,
8,B08,77452,,,,,,,,,,
8,B09,151828,,,,,,,,,,
8,B10,54508,,,,,,,,,,
8,B11,57753,,,,,,,,,,
8,B12,31858,,,,,,,,,,
8,C01,118238,,,,,,,,,,
8,C02,156680,,,,,,,,,,
8,C03,175023,,,,,,,,,,
8,C04,91312,,,,,,,,,,
8,C05,105494,,,,,,,,,,
8,C06,146332,,,,,,,,,,
8,C07,170729,,,,,,,,,,
8,C08,175501,,,,,,,,,,
8,C09,157511,,,,,,,,,,
8,C10,156438,,,,,,,,,,
8,C11,153987,,,,,,,,,,
8,C12,32078,,,,,,,,,,
8,D01,113563,,,,,,,,,,
8,D02,155826,,,,,,,,,,
8,D03,160511,,,,,,,,,,
8,D04,76465,,,,,,,,,,
8,D05,165681,,,,,,,,,,
8,D06,149356,,,,,,,,,,
8,D07,174754,,,,,,,,,,
8,D08,147498,,,,,,,,,,
8,D09,144256,,,,,,,,,,
8,D10,199132,,,,,,,,,,
8,D11,149812,,,,,,,,,,
8,D12,35764,,,,,,,,,,
8,E01,35613,,,,,,,,,,
8,E02,156031,,,,,,,,,,
8,E03,107028,,,,,,,,,,
8,E04,120199,,,,,,,,,,
8,E05,131532,,,,,,,,,,
8,E06,33045,,,,,,,,,,
8,E07,155913,,,,,,,,,,
8,E08,156161,,,,,,,,,,
8,E09,109567,,,,,,,,,,
8,E10,61124,,,,,,,,,,
8,E11,170880,,,,,,,,,,
8,E12,159274,,,,,,,,,,
8,F01,33945,,,,,,,,,,
8,F02,123502,,,,,,,,,,
8,F03,133484,,,,,,,,,,
8,F04,161843,,,,,,,,,,
8,F05,129940,,,,,,,,,,
8,F06,163662,,,,,,,,,,
8,F07,95127,,,,,,,,,,
8,F08,152258,,,,,,,,,,
8,F09,164182,,,,,,,,,,
8,F10,135097,,,,,,,,,,
8,F11,149312,,,,,,,,,,
8,F12,154548,,,,,,,,,,
8,G01,33722,,,,,,,,,,
8,G02,155583,,,,,,,,,,
8,G03,130303,,,,,,,,,,
8,G04,122157,,,,,,,,,,
8,G05,159973,,,,,,,,,,
8,G06,62217,,,,,,,,,,
8,G07,172601,,,,,,,,,,
8,G08,185253,,,,,,,,,,
8,G09,134135,,,,,,,,,,
8,G10,158704,,,,,,,,,,
8,G11,160506,,,,,,,,,,
8,G12,161659,,,,,,,,,,
8,H01,31802,,,,,,,,,,
8,H02,151005,,,,,,,,,,
8,H03,352470,,,,,,,,,,
8,H04,91305,,,,,,,,,,
8,H05,128431,,,,,,,,,,
8,H06,89608,,,,,,,,,,
8,H07,132790,,,,,,,,,,
8,H08,135968,,,,,,,,,,
8,H09,165706,,,,,,,,,,
8,H10,69272,,,,,,,,,,
8,H11,126473,,,,,,,,,,
8,H12,157290,,,,,,,,,,
9,A01,158108,,,,,,,,,,
9,A02,150934,,,,,,,,,,
9,A03,150028,,,,,,,,,,
