,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
6,A12,29234,,,,,,,,,,
6,B01,107394,,,,,,,,,,
6,B02,99710,,,,,,,,,,
6,B03,111386,,,,,,,,,,
6,B04,77582,,,,,,,,,,
6,B05,76024,,,,,,,,,,
6,B06,73514,,,,,,,,,,
6,B07,58542,,,,,,,,,,
6,B08,64020,,,,,,,,,,
6,B09,103766,,,,,,,,,,
6,B10,43158,,,,,,,,,,
6,B11,45732,,,,,,,,,,
6,B12,28578,,,,,,,,,,
6,C01,112808,,,,,,,,,,
6,C02,106527,,,,,,,,,,
6,C03,124302,,,,,,,,,,
6,C04,62257,,,,,,,,,,
6,C05,74987,,,,,,,,,,
6,C06,90900,,,,,,,,,,
6,C07,123598,,,,,,,,,,
6,C08,118923,,,,,,,,,,
6,C09,122966,,,,,,,,,,
6,C10,115277,,,,,,,,,,
6,C11,108116,,,,,,,,,,
6,C12,29010,,,,,,,,,,
6,D01,108832,,,,,,,,,,
6,D02,99956,,,,,,,,,,
6,D03,120351,,,,,,,,,,
6,D04,53790,,,,,,,,,,
6,D05,94354,,,,,,,,,,
6,D06,86954,,,,,,,,,,
6,D07,120112,,,,,,,,,,
6,D08,99318,,,,,,,,,,
6,D09,96822,,,,,,,,,,
6,D10,142621,,,,,,,,,,
6,D11,103876,,,,,,,,,,
6,D12,29917,,,,,,,,,,
6,E01,29228,,,,,,,,,,
6,E02,98262,,,,,,,,,,
6,E03,79682,,,,,,,,,,
6,E04,76986,,,,,,,,,,
6,E05,86909,,,,,,,,,,
6,E06,30700,,,,,,,,,,
6,E07,115086,,,,,,,,,,
6,E08,116933,,,,,,,,,,
6,E09,80026,,,,,,,,,,
6,E10,47111,,,,,,,,,,
6,E11,105821,,,,,,,,,,
6,E12,115592,,,,,,,,,,
6,F01,28695,,,,,,,,,,
6,F02,95535,,,,,,,,,,
6,F03,89515,,,,,,,,,,
6,F04,93765,,,,,,,,,,
6,F05,80556,,,,,,,,,,
6,F06,94390,,,,,,,,,,
6,F07,62203,,,,,,,,,,
6,F08,98049,,,,,,,,,,
6,F09,106778,,,,,,,,,,
6,F10,97788,,,,,,,,,,
6,F11,94650,,,,,,,,,,
6,F12,110950,,,,,,,,,,
6,G01,28238,,,,,,,,,,
6,G02,96718,,,,,,,,,,
6,G03,86067,,,,,,,,,,
6,G04,79432,,,,,,,,,,
6,G05,91043,,,,,,,,,,
6,G06,45434,,,,,,,,,,
6,G07,113072,,,,,,,,,,
6,G08,125327,,,,,,,,,,
6,G09,90308,,,,,,,,,,
6,G10,105614,,,,,,,,,,
6,G11,115947,,,,,,,,,,
6,G12,113959,,,,,,,,,,
6,H01,28826,,,,,,,,,,
