Well,comp,Avg_cbd,Avg_control,SD_cbd,SD_control,ratio,log2ratio,ratioSD,well_type,correction,significance,sign_values
B07,2000,0.2657288420731324,0.3461718919889033,0.05175618959433236,0.017403885479691218,0.7676210813836106,-0.38153376168920167,0.1544106087243526,test_compounds,1.076442298832316,0,-0
B08,2000,0.49837331639770105,0.49601687979968634,0.03796849950420265,0.05005238472330966,1.0047507185621714,0.006837609161485693,0.12703913413778858,test_compounds,0.7506724502865942,0,0
B09,2000,0.8082769910126079,0.7890607097227881,0.09171975119331335,0.09562579570227459,1.0243533622356775,0.034713475108766274,0.17006608315091323,test_compounds,0.6842211959338511,0,0
B10,2000,0.2442914255672308,0.2088795052694163,0.03380893361547623,0.01782154252400017,1.169532766042028,0.22593228130911014,0.19014489173075846,test_compounds,0.7892429825805112,0,0
B11,2000,0.3366820827929058,0.24955813179439612,0.08171626552589561,0.043463324040766346,1.3491128514709696,0.4320110328287348,0.40302241052787,test_compounds,0.5430680304152296,0,0
C03,2000,0.8519506565164356,0.9538150381862813,0.06553584763922257,0.15522804651505384,0.8932032127910826,-0.16293965444190397,0.16078429347713824,test_compounds,1.214771799745359,0,-0
C04,2000,0.5458773871424311,0.4492472125187779,0.04133969245342931,0.025966048997710087,1.2150935430002565,0.2810673828251164,0.11575875551188834,test_compounds,0.9835760319764798,0,0
C05,2000,0.6102165292814832,0.6547621740948506,0.01927262634691226,0.05803178969318896,0.931966679542923,-0.10164971953303957,0.08768829957798654,test_compounds,1.1073432786988961,0,-0
C06,2000,0.8110999087498814,0.7803594074885083,0.042308472906095976,0.031513858615538105,1.0393927477087868,0.05574089784842207,0.06856611710293065,test_compounds,0.9022605135029255,0,0
C07,2000,1.0413919160000429,0.7693827567760089,0.05194641561189478,0.11659907004984209,1.3535420528058757,0.4367397109234145,0.21595354646532564,test_compounds,0.9216349598752245,0,0
C08,2000,1.0820997736706672,0.8998127292131237,0.18468787873996464,0.034972586689696515,1.202583313771246,0.266136845929601,0.21050608425892808,test_compounds,0.7815711452533899,0,0
C09,2000,0.8971043152519944,0.8736525270715758,0.04367244204958457,0.036197067863040264,1.0268433816119407,0.038216152637122316,0.06564168554275304,test_compounds,0.8955600105264345,0,0
C10,2000,1.0316522355489368,0.8115885738033644,0.1278256985901063,0.07582519683290144,1.2711517496042157,0.34613626899994887,0.19725793996539376,test_compounds,0.8766358696734282,0,0
